time,ticket,race,sex,speed,limit,state,modelyear
1050,T,B,M,NA,NA,DE,89
1350,W,B,M,NA,NA,MD,92
1821,T,W,M,NA,NA,MD,89
50,T,B,M,80,65,MD,96
1650,T,B,F,NA,NA,MD,97
1013,T,W,F,56,45,MD,97
1143,T,W,F,61,45,MD,91
1150,T,W,F,60,45,MD,95
1609,T,W,M,71,55,MD,96
230,T,W,M,77,65,MD,84
1302,T,W,M,84,65,MD,97
1015,T,B,M,80,65,MD,97
1655,T,W,M,70,65,MD,97
1455,T,W,M,78,65,NY,97
620,W,W,F,NA,NA,MD,93
1532,W,W,M,NA,NA,MD,92
1540,W,B,M,79,55,VA,97
1530,T,W,M,NA,NA,MD,78
1225,T,B,M,79,65,PA,84
1330,T,W,M,79,65,VA,97
1400,T,W,F,81,65,FL,88
1625,T,B,M,80,65,VA,94
1652,T,W,M,79,65,PA,95
1927,T,W,F,80,65,NY,94
1435,T,W,M,100,50,MD,89
202,T,B,M,77,65,NJ,95
217,T,B,M,76,65,VA,88
2335,T,W,M,77,65,MD,96
528,T,W,M,78,65,PA,96
617,T,W,M,NA,NA,MD,94
730,T,W,M,NA,NA,MD,87
1550,T,W,F,NA,NA,MD,89
1620,T,W,M,77,55,MD,91
1630,T,B,M,NA,NA,DC,84
1825,T,W,M,NA,NA,NY,95
2110,T,W,M,74,55,NY,97
2150,T,W,M,81,65,PA,97
2230,T,W,M,74,55,NJ,95
1950,T,B,M,NA,NA,PA,89
1650,T,B,M,89,65,DC,88
1710,T,W,M,78,65,NJ,93
1720,T,W,F,78,65,PA,96
1730,T,W,M,NA,NA,VA,85
1010,T,W,M,NA,NA,NJ,97
1040,T,W,F,NA,NA,PA,91
33,W,B,M,NA,NA,MD,85
630,W,W,M,NA,NA,MD,86
1145,W,B,M,70,65,PA,88
730,W,W,M,NA,NA,WI,96
33,T,B,M,80,65,MD,85
1341,W,W,M,78,65,NJ,88
845,W,W,M,NA,NA,FL,96
1020,T,B,F,79,65,MD,97
1030,W,W,M,NA,NA,NY,91
1035,T,B,M,81,65,MD,75
2345,T,W,M,70,55,MD,84
130,T,B,M,NA,NA,PA,87
230,T,B,M,NA,NA,NC,87
340,T,B,F,NA,NA,MD,88
1435,T,W,M,100,50,MD,85
20,T,W,M,83,65,WI,96
54,T,W,M,94,65,NJ,88
54,T,W,M,NA,NA,NJ,88
120,T,W,M,79,65,NJ,97
130,T,W,M,76,65,MD,93
145,T,B,M,81,65,MD,87
205,T,W,M,79,65,NY,90
240,T,W,M,77,65,PA,84
255,T,W,M,77,65,TN,95
2325,T,B,M,80,65,SC,97
2340,T,B,M,80,65,DE,90
2350,T,W,F,80,65,MD,95
1630,T,W,F,74,55,PA,94
723,T,B,M,NA,NA,TN,97
730,T,W,M,NA,NA,GA,89
735,T,B,M,NA,NA,GA,94
755,W,B,M,NA,NA,UT,94
800,T,W,M,NA,NA,IL,91
815,T,B,M,NA,NA,GA,95
1248,T,B,M,NA,NA,MD,95
1312,T,W,F,NA,NA,CT,88
1725,T,B,M,NA,NA,MD,96
900,T,W,F,83,65,PA,96
845,T,W,M,79,65,PA,96
915,T,W,F,79,65,NY,96
1400,T,B,M,NA,NA,MD,89
1239,T,W,M,NA,NA,NC,94
1239,T,W,F,NA,NA,MD,93
1000,T,W,M,81,65,NJ,96
1900,T,W,M,NA,NA,NJ,96
1030,T,W,M,78,65,NJ,92
2030,T,W,M,NA,NA,NY,96
940,T,W,M,78,65,MA,96
1208,W,W,M,NA,NA,NY,96
816,T,W,F,78,65,PA,94
1311,T,W,M,NA,NA,NY,86
1320,W,W,M,77,65,DE,87
1300,T,W,M,NA,NA,MD,92
307,T,W,M,62,45,MD,87
450,T,W,M,NA,NA,MD,86
504,T,W,M,65,45,MD,89
515,T,W,M,59,45,MD,95
530,T,W,M,61,45,MD,87
540,T,W,F,60,45,MD,95
125,T,W,M,79,65,OR,97
2353,T,W,M,80,65,DE,88
1455,T,W,M,78,65,NY,97
1540,T,B,M,NA,NA,VA,97
1610,T,B,F,80,65,VA,87
1031,T,W,M,80,65,DE,96
908,T,W,M,NA,NA,MD,87
1040,T,B,M,NA,NA,MD,88
1313,W,W,M,81,65,MD,95
1331,W,W,F,75,NA,VA,96
100,W,W,M,NA,NA,DE,90
755,W,W,M,80,65,DE,94
1425,W,W,F,70,65,NJ,97
745,T,W,M,79,65,MD,87
800,T,W,F,79,65,MD,93
825,T,W,M,86,65,MD,94
835,T,B,M,84,65,MD,94
845,T,W,M,82,65,NC,95
900,T,B,M,81,65,VA,97
1115,T,W,M,78,65,DE,94
1125,T,W,F,78,65,NJ,92
51,W,W,M,79,65,NJ,97
849,T,W,M,77,65,MD,88
853,T,W,F,75,65,MD,96
857,T,W,M,77,65,MD,97
906,T,B,M,79,65,VA,97
