LAND,SPECIES,SITE,STAGE,HABSPEC,SITESPEC,REP,SAMPPER,PLNO,JULDAY,PERNODN,RF,SNF,SLA,PERLEAFN,DEL,ONECM,FIVECM,PERH2O,DELNOD,NPERAREA,NDiff,delDiff,logSNF
FP,AT,1A,Early,FPATEarly,1AAT,1,early,9,170,1.224,G1,126.1973867,7.764517976,1.848,-1.2807,5.4,4.1,28.05493697,-0.47480533,14.34882922,0.624,-0.80589467,4.837847242
FP,AT,1A,Early,FPATEarly,1AAT,1,late,152,240,1.682,G1,7.911049871,5.108037248,2.235,-1.6927,9.1,8.2,31.69518183,-0.310404902,11.41646325,0.553,-1.382295098,2.0682605
FP,AT,1A,Early,FPATEarly,1AAT,1,early,5,170,1.864,G1,70.69989269,9.95841244,2.278,-2.0398,6.6,5,31.80615561,0.018396547,22.68526354,0.414,-2.058196547,4.258444055
FP,AT,1A,Early,FPATEarly,1AAT,1,late,151,240,1.266,G7,2.677886325,5.439532291,2.299,-1.474,8.8,7.9,32.31807075,0.785603007,12.50548474,1.033,-2.259603007,0.985027799
FP,AT,1A,Early,FPATEarly,1AAT,1,late,158,240,2.317,G7,7.294895736,5.439532291,2.346,-1.5288,8.7,7.9,30.80815055,2.018622425,12.76114275,0.029,-3.547422425,1.987174889
FP,AT,1A,Early,FPATEarly,1AAT,1,late,153,240,2.07,G7,3.457937652,5.002561553,2.355,-1.3815,9.3,8.5,30.70716402,0.895204282,11.78103246,0.285,-2.276704282,1.240672357
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,101,221,1.775,G7,4.26027229,6.102522376,2.386,-1.017,8.3,6.2,35.11655767,NA,14.56061839,0.611,NA,1.449333076
FP,AT,1A,Early,FPATEarly,1AAT,1,late,154,240,2.424,G7,7.649282804,5.123105204,2.455,-1.5695,8.5,7.9,34.69867255,1.05960636,12.57722328,0.031,-2.62910636,2.034611892
FP,AT,1A,Early,FPATEarly,1AAT,1,late,156,240,1.957,G7,9.779156069,6.584696983,2.456,-1.4471,10.4,8.4,30.82800387,-0.392605141,16.17201579,0.499,-1.054494859,2.280253189
FP,AT,1A,Early,FPATEarly,1AAT,1,late,160,240,1.71,G7,6.33460545,4.354639424,2.556,-1.6414,9.1,7.8,30.72295051,-0.146004277,11.13045837,0.846,-1.495395723,1.846027531
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,106,221,1.967,G7,21.27441632,5.108037248,2.563,-1.1731,8.8,7.5,30.82127268,-0.365205067,13.09189947,0.596,-0.807894933,3.057505239
FP,AT,1A,Early,FPATEarly,1AAT,1,late,159,240,2.407,G7,15.83666313,5.725823464,2.74,-1.3726,11.6,8.5,30.31409519,0.155397384,15.68875629,0.333,-1.527997384,2.762327703
FP,AT,1A,Early,FPATEarly,1AAT,1,late,155,240,1.931,G1,5.698472969,4.143688033,2.804,-0.5213,6.8,5.3,31.80555958,0.401999238,11.61890124,0.873,-0.923299238,1.740198239
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,105,221,1.448,G7,5.143690262,6.795648374,2.884,-0.9326,10.2,7.7,31.32563916,NA,19.59864991,1.436,NA,1.637770772
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,103,221,0.787,G7,1.379624884,5.258716813,2.984,-1.2381,12.5,11.8,28.46312274,-0.858405557,15.69201097,2.197,-0.379694443,0.321811639
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,102,221,1.647,G7,4.974090259,4.731338336,3.054,-1.2613,9.7,8,31.50760987,-0.557005469,14.44950728,1.407,-0.704294531,1.604242491
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,109,221,1.546,G2,8.990701679,4.836814031,3.267,-0.3537,9.4,7.3,31.11443115,-0.803605591,15.80187144,1.721,0.449905591,2.196190896
FP,AT,1A,Early,FPATEarly,1AAT,1,middle,104,221,1.712,G2,8.659269252,5.755959377,3.297,-0.605,10.6,8.5,33.71286848,0.182797568,18.97739807,1.585,-0.787797568,2.158630337
FP,AT,1B,Early,FPATEarly,1BAT,2,early,31,177,1.393,G7,60.13633973,8.840370069,2.171,-0.8874,13.8,12.7,26.11080686,-1.214604803,19.19244342,0.778,0.327204803,4.096614313
FP,AT,1B,Early,FPATEarly,1BAT,2,early,39,177,NA,G7,NA,10.48277733,2.233,-1.4276,15.7,12.7,17.53179557,-0.639205559,23.40804178,NA,-0.788394441,NA
FP,AT,1B,Early,FPATEarly,1BAT,2,early,40,177,NA,G7,NA,8.498327457,2.398,-1.624,14.8,12.8,25.17114141,-0.611805535,20.37898924,NA,-1.012194465,NA
FP,AT,1B,Early,FPATEarly,1BAT,2,late,175,241,1.548,G7,12.00421433,5.560075943,2.598,-1.4844,10.4,9.9,25.52808815,0.36119756,14.4450773,1.05,-1.84559756,2.485257782
FP,AT,1B,Early,FPATEarly,1BAT,2,late,173,241,2.064,G7,14.93758482,3.480697948,2.66,-1.3138,9.9,9.4,26.5775879,1.169207855,9.258656542,0.596,-2.483007855,2.703880508
FP,AT,1B,Early,FPATEarly,1BAT,2,early,32,177,2.053,G7,48.1734583,4.15875599,2.738,-1.9331,13.6,11.7,19.291021,0.67600182,11.3866739,0.685,-2.60910182,3.874808212
FP,AT,1B,Early,FPATEarly,1BAT,2,late,180,241,1.286,G7,2.986409082,3.29988247,2.739,-1.1511,11.5,10.4,23.88528669,-0.549456759,9.038378085,1.453,-0.601643241,1.09407169
FP,AT,1B,Early,FPATEarly,1BAT,2,early,34,177,1.183,G7,35.47878485,6.592230962,2.742,-1.2663,14.1,12.8,19.31851681,-0.337804987,18.0758973,1.559,-0.928495013,3.568934908
FP,AT,1B,Early,FPATEarly,1BAT,2,late,177,241,1.235,G7,4.535676476,4.219027815,2.845,-1.4918,11.2,9.9,24.91980101,-1.13240506,12.00313413,1.61,-0.35939494,1.51197424
FP,AT,1B,Early,FPATEarly,1BAT,2,late,176,241,1.264,G7,4.476086619,5.153241117,2.941,-1.0028,10.5,9.9,25.69036456,-0.365205067,15.15568213,1.677,-0.637594933,1.498749142
FP,AT,1B,Early,FPATEarly,1BAT,2,late,172,241,1.751,G7,11.64194749,3.797125034,3.067,-1.183,9.9,9.4,29.02886894,-0.968005424,11.64578248,1.316,-0.214994576,2.454614738
FP,AT,1B,Early,FPATEarly,1BAT,2,late,174,241,1.052,G7,2.030937462,5.755959377,3.079,-0.8831,10.1,9.5,26.73308263,-0.337804987,17.72259892,2.027,-0.545295013,0.70849749
