sessionID,dept,level,sem,enroll,iid
session1784,M,100,FA1991,22,inst265
session1785,k,100,FA1991,52,inst458
session1791,J,100,FA1993,22,inst223
session1792,J,300,FA1993,20,inst235
session1794,J,200,FA1993,22,inst234
session1795,J,200,SP1994,26,inst230
session1796,k,200,IT1994,25,inst466
session1801,C,100,SP1997,38,inst144
session1802,o,300,SP1997,16,inst390
session1807,W,100,SP1998,43,inst138
session1808,o,100,SP1998,10,inst507
session1810,D,300,FA1997,58,inst150
session1815,W,100,FA1999,21,inst373
session1817,i,100,FA1999,19,inst423
session1818,i,200,FA1999,20,inst444
session1820,j,100,FA1999,28,inst455
session1824,q,200,FA1999,13,inst364
session1829,G,100,SP2000,27,inst195
session1832,j,100,SP2000,69,inst447
session1833,k,100,SP2000,20,inst125
session1835,n,100,SP2000,39,inst498
session1836,q,100,SP2000,20,inst358
session1837,q,300,SP2000,14,inst528
session1839,p,100,FA1999,20,inst510
session1841,W,300,SP2000,21,inst382
session1844,d,100,SP2001,34,inst421
session1845,d,200,SP2001,16,inst414
session1848,e,100,FA2000,19,inst424
session1851,e,300,SP2001,12,inst434
session1852,C,100,FA2000,48,inst139
session1853,C,200,FA2000,12,inst139
session1854,C,300,FA2000,18,inst141
session1855,F,100,FA2000,43,inst182
session1856,G,100,FA2000,29,inst196
session1857,G,100,FA2000,41,inst198
session1858,J,100,FA2000,16,inst137
session1859,L,100,FA2000,16,inst246
session1863,M,100,FA2000,14,inst264
session1865,M,100,FA2000,26,inst266
session1867,O,100,FA2000,16,inst163
session1871,W,300,FA2000,16,inst369
session1873,W,400,FA2000,11,inst372
session1875,p,300,FA2000,26,inst520
session1876,X,100,SP2001,25,inst315
session1877,X,300,SP2001,11,inst320
session1878,o,300,FA2000,15,inst507
session1879,m,100,FA2000,28,inst480
session1880,D,200,SP2001,11,inst161
session1881,D,400,SP2001,84,inst150
session1882,D,200,FA2000,13,inst166
session1884,i,100,FA2000,16,inst438
session1886,i,400,FA2000,13,inst400
session1890,q,100,FA2000,14,inst214
session1892,H,100,FA2000,22,inst204
session1894,Y,200,FA2000,16,inst398
session1897,F,100,SP2001,32,inst184
session1902,G,100,SP2001,32,inst196
session1904,M,100,SP2001,26,inst264
session1905,M,100,SP2001,21,inst268
session1907,O,100,SP2001,19,inst285
session1911,W,100,SP2001,19,inst373
session1913,W,300,SP2001,26,inst370
session1914,i,200,SP2001,27,inst437
session1918,k,100,SP2001,30,inst472
session1919,j,100,SP2001,44,inst447
session1921,j,100,SP2001,63,inst448
session1923,m,100,SP2001,71,inst488
session1926,o,300,SP2001,15,inst507
session1928,p,100,SP2001,16,inst515
session1929,p,200,SP2001,21,inst519
session1930,q,100,SP2001,19,inst364
session1931,q,100,SP2001,15,inst363
session1935,L,100,SP2001,21,inst245
session1937,d,100,FA2000,24,inst410
session1938,d,100,FA2000,14,inst418
session1940,d,100,FA2000,16,inst409
session1942,d,100,SP2001,20,inst416
session1944,O,200,FA2000,14,inst305
session1946,t,100,SP2001,19,inst311
session1948,L,100,SP2001,11,inst247
session1950,Q,100,FA2001,16,inst323
session1951,Q,100,FA2001,16,inst323
session1952,Q,100,FA2001,17,inst322
session1953,Q,200,FA2001,17,inst322
session1954,Q,200,FA2001,13,inst328
session1955,Q,200,FA2001,13,inst328
session1957,Q,200,FA2001,23,inst326
session1958,Q,300,FA2001,16,inst324
session1959,Q,300,FA2001,13,inst323
session1960,d,100,FA2001,32,inst414
session1961,d,100,FA2001,34,inst415
session1962,d,100,FA2001,27,inst419
session1963,d,100,FA2001,31,inst419
session1964,d,100,FA2001,28,inst416
session1965,d,100,FA2001,25,inst414
session1966,d,100,FA2001,24,inst242
session1967,d,100,FA2001,28,inst411
session1968,d,100,FA2001,16,inst412
session1969,d,100,FA2001,33,inst411
session1970,d,100,FA2001,16,inst237
session1971,d,100,FA2001,41,inst237
session1972,d,100,FA2001,31,inst415
session1973,d,200,FA2001,20,inst418
session1974,d,200,FA2001,26,inst418
session1975,d,300,FA2001,16,inst243
session1976,K,100,FA2001,22,inst237
session1977,K,100,FA2001,12,inst240
session1978,K,100,FA2001,24,inst238
session1979,K,100,FA2001,18,inst236
session1980,K,200,FA2001,38,inst239
session1981,N,200,FA2001,13,inst275
session1983,N,300,FA2001,16,inst278
session1984,X,100,FA2001,27,inst386
session1985,X,300,FA2001,12,inst387
session1986,X,300,FA2001,10,inst392
session1987,X,300,FA2001,18,inst387
session1988,N,200,SP2002,27,inst280
session1989,N,200,SP2002,10,inst275
session1991,Q,100,SP2002,12,inst322
session1992,Q,100,SP2002,15,inst321
session1993,Q,200,SP2002,12,inst328
session1994,Q,200,SP2002,20,inst326
session1995,Q,200,SP2002,10,inst321
session1996,Q,200,SP2002,14,inst321
session1997,Q,300,SP2002,20,inst322
session1998,X,100,SP2002,31,inst387
session1999,d,100,SP2002,38,inst129
session2000,d,100,SP2002,23,inst420
session2001,d,100,SP2002,26,inst419
session2002,d,100,SP2002,26,inst411
session2003,d,100,SP2002,19,inst416
session2004,d,100,SP2002,10,inst243
session2005,d,100,SP2002,22,inst243
session2006,d,100,SP2002,32,inst415
session2007,d,100,SP2002,30,inst415
session2008,d,200,SP2002,23,inst412
session2010,d,200,SP2002,16,inst415
session2012,K,100,SP2002,11,inst240
session2013,K,100,SP2002,13,inst236
session2014,K,200,SP2002,33,inst236
