wage,educ,race,sex,hispanic,south,married,exper,union,age,sector
9,10,W,M,NH,NS,Married,27,Not,43,const
5.5,12,W,M,NH,NS,Married,20,Not,38,sales
3.8,12,W,F,NH,NS,Single,4,Not,22,sales
10.5,12,W,F,NH,NS,Married,29,Not,47,clerical
15,12,W,M,NH,NS,Married,40,Union,58,const
9,16,W,F,NH,NS,Married,27,Not,49,clerical
9.57,12,W,F,NH,NS,Married,5,Union,23,service
15,14,W,M,NH,NS,Single,22,Not,42,sales
11,8,W,M,NH,NS,Married,42,Not,56,manuf
5,12,W,F,NH,NS,Married,14,Not,32,sales
24.98,17,W,M,Hisp,NS,Married,18,Not,41,prof
20.4,17,W,M,NH,NS,Single,3,Not,26,prof
25,14,W,M,Hisp,NS,Single,4,Union,24,service
13.98,14,W,M,NH,NS,Single,14,Not,34,other
3.5,12,W,M,NH,NS,Married,35,Not,53,clerical
5,14,W,M,Hisp,NS,Single,0,Not,20,sales
10,16,W,M,Hisp,NS,Married,7,Union,29,manag
15,16,NW,M,NH,NS,Married,26,Union,48,manag
5.83,13,NW,M,NH,NS,Single,3,Not,22,service
9.1,13,W,M,Hisp,NS,Single,16,Not,35,clerical
11.25,17,NW,F,NH,NS,Married,32,Not,55,clerical
13,12,NW,M,NH,NS,Married,25,Union,43,service
8,14,W,F,NH,NS,Single,15,Union,35,clerical
4.28,12,W,F,NH,NS,Married,38,Not,56,service
7.88,16,NW,M,NH,NS,Married,17,Not,39,clerical
6.94,12,W,F,NH,NS,Single,7,Not,25,service
24.98,17,W,F,NH,NS,Single,5,Not,28,prof
10,14,W,M,NH,NS,Married,22,Not,42,prof
13.75,14,W,M,NH,NS,Married,21,Not,41,sales
5.62,13,W,F,Hisp,NS,Married,2,Not,21,clerical
14.67,14,NW,M,NH,NS,Married,16,Not,36,service
24.98,16,W,M,NH,NS,Married,18,Not,40,manag
12,12,W,M,NH,NS,Married,14,Not,32,manuf
15,18,W,M,NH,NS,Married,12,Not,36,prof
5.77,16,W,M,NH,NS,Single,3,Not,25,service
12.65,17,W,F,NH,NS,Married,13,Not,36,manag
11.71,16,W,F,NH,NS,Single,42,Not,64,clerical
13,12,W,M,NH,NS,Married,8,Not,26,other
12.5,15,W,F,NH,NS,Married,6,Not,27,clerical
22.5,16,W,M,NH,NS,Married,22,Not,44,manag
11.25,16,NW,F,NH,NS,Single,3,Not,25,manag
15.38,16,W,M,NH,NS,Married,33,Not,55,prof
7.7,13,W,F,NH,NS,Single,8,Union,27,clerical
11.84,12,W,M,NH,NS,Married,26,Not,44,manag
5,14,W,M,NH,NS,Married,0,Not,20,prof
6.5,12,W,M,NH,NS,Married,28,Not,46,other
9,8,W,M,NH,NS,Married,33,Union,47,other
3.35,12,W,M,NH,NS,Single,0,Not,18,other
4.5,12,W,F,NH,NS,Married,7,Not,25,manuf
10.53,14,W,F,NH,NS,Married,12,Not,32,clerical
3.5,9,W,M,NH,NS,Married,47,Union,62,service
15,16,W,M,NH,NS,Married,12,Not,34,manuf
8.5,12,W,F,NH,NS,Single,25,Not,43,clerical
9.17,12,W,F,NH,NS,Married,44,Not,62,clerical
9.6,9,W,M,NH,NS,Single,33,Union,48,clerical
6.88,8,W,F,Hisp,NS,Married,22,Not,36,other
13.95,18,W,F,NH,NS,Married,14,Not,38,manag
10,14,NW,M,NH,NS,Single,22,Not,42,manag
3.75,12,W,F,NH,NS,Single,41,Not,59,service
8,12,W,F,NH,NS,Single,8,Not,26,clerical
11.67,12,W,F,NH,NS,Married,43,Not,61,clerical
8.89,8,NW,F,NH,NS,Single,29,Not,43,service
4,12,NW,M,NH,NS,Single,6,Union,24,manuf
5.5,12,NW,F,NH,NS,Single,21,Not,39,clerical
3.35,16,NW,M,NH,NS,Single,3,Not,25,clerical
10.81,12,W,F,NH,NS,Married,40,Not,58,clerical
7,12,W,M,NH,NS,Married,5,Not,23,sales
10,13,W,M,NH,NS,Married,34,Union,53,prof
