sid,grade,sessionID
S31185,D+,session1784
S31185,B+,session1785
S31185,A-,session1791
S31185,B+,session1792
S31185,B-,session1794
S31185,C+,session1795
S31185,B-,session1796
S31185,NC,session1807
S31188,C,session1801
S31188,C+,session1802
S31188,NC,session1808
S31188,A-,session1810
S31188,B+,session2452
S31188,A,session2644
S31188,B,session2837
S31188,S,session2956
S31188,A-,session3139
S31188,A,session3141
S31188,A-,session3187
S31188,B+,session3188
S31188,B-,session3313
S31188,A-,session3427
S31188,B,session3488
S31188,B,session3491
S31188,B,session3579
S31188,AU,session3811
S31191,B,session2049
S31191,B,session2212
S31191,S,session2416
S31191,A-,session2519
S31191,B-,session2622
S31191,A-,session2756
S31191,B,session2759
S31191,B,session2995
S31191,B,session3081
S31191,B+,session3150
S31191,B,session3331
S31191,B+,session3394
S31191,A,session3533
S31191,B+,session3703
S31191,B,session3813
S31194,B,session1844
S31194,C,session1904
S31194,B,session2043
S31194,B+,session2059
S31194,A-,session2078
S31194,B+,session2662
S31194,B,session2664
S31194,A,session2827
S31194,B+,session2880
S31194,A,session3196
S31194,A-,session3255
S31194,A,session3468
S31197,B,session2015
S31197,A-,session2144
S31197,B+,session2244
S31197,A-,session2286
S31197,B,session2442
S31197,A,session2474
S31197,B+,session2546
S31197,B,session2759
S31197,B+,session2995
S31197,B+,session3081
S31197,B,session3524
S31197,B+,session3532
S31197,A-,session3657
S31200,C-,session1818
S31200,B-,session1835
S31200,B-,session1839
S31200,C-,session1857
S31200,A,session1875
S31200,C-,session1923
S31200,NC,session2230
S31200,C,session2324
S31200,D+,session2331
S31200,C,session2901
S31200,A-,session3010
S31200,C+,session3247
S31200,C+,session3546
S31200,B-,session3809
S31203,B+,session2017
S31203,B,session2102
S31203,A,session2111
S31203,A,session2249
S31203,A,session2251
S31203,A-,session2263
S31203,A,session2679
S31203,A,session3000
S31203,A,session3252
S31203,A,session3324
S31203,A,session3480
S31203,A-,session3536
S31203,A,session3794
S31206,D+,session1815
S31206,B+,session1824
S31206,B-,session1832
S31206,B-,session1837
S31206,B,session1873
S31206,B-,session1911
S31206,NC,session1913
S31206,C+,session2661
S31206,B-,session2672
S31206,C,session2679
S31206,C+,session2680
S31206,B,session3034
S31206,A,session3355
S31209,B+,session1975
S31209,C,session2018
S31209,B,session2180
S31209,B+,session2798
S31209,B,session2974
S31209,B+,session3165
S31209,B+,session3256
S31209,AU,session3297
S31209,A-,session3623
S31209,AU,session3629
S31209,AU,session3629
S31209,A-,session3633
S31209,B-,session3767
S31209,AU,session3778
S31212,B,session2028
S31212,B,session2223
S31212,A-,session2644
S31212,A,session2678
S31212,A,session2693
S31212,B+,session2820
S31212,A,session2960
S31212,A-,session3046
S31212,A-,session3046
S31212,A-,session3086
S31212,A,session3139
S31212,B,session3313
S31212,A,session3427
S31212,A-,session3498
S31212,A,session3583
S31212,A,session3639
S31215,B+,session1978
S31215,B,session2013
S31215,A-,session2183
S31215,A,session2495
S31215,A,session2642
S31215,A-,session2727
S31215,A-,session2817
S31215,B+,session2855
S31215,A,session3010
S31215,A,session3090
S31215,A-,session3298
S31215,S,session3431
S31215,A-,session3696
S31215,A-,session3762
S31218,A,session1894
S31218,A,session2056
S31218,A,session2162
S31218,A-,session2427
S31218,B+,session2612
S31218,A,session2800
S31218,A,session2805
S31218,B+,session2809
S31218,A,session2873
S31218,A-,session2876
S31218,B+,session2997
S31218,A-,session3187
S31218,A,session3240
S31218,A,session3256
S31221,B+,session1878
S31221,A-,session1948
S31221,S,session2062
S31221,A-,session2257
S31221,B,session2287
S31221,A,session2327
S31221,A-,session2364
S31221,A-,session3067
S31221,B+,session3281
S31221,B,session3282
S31221,B+,session3363
S31224,C,session1817
S31224,B,session1833
S31224,S,session1836
S31224,B-,session1886
S31224,B,session1929
S31224,B+,session2183
S31224,B,session2196
S31224,B,session2229
S31224,B,session2331
S31224,B-,session2332
S31224,C,session2463
S31224,B-,session2552
S31224,B,session2760
S31224,C,session2817
S31227,C+,session1820
S31227,B,session1829
S31227,A,session1841
S31227,B,session1853
S31227,A-,session1854
S31227,C,session1855
S31227,B,session1897
S31227,B,session2132
S31227,A,session2134
S31227,C,session2176
S31227,S,session2435
S31227,NC,session2472
S31227,B,session2614
S31230,C,session1967
S31230,A-,session2093
S31230,A,session2215
S31230,B,session2492
S31230,B+,session2712
S31230,A,session2832
S31230,A-,session2983
S31230,A-,session3045
S31230,A-,session3336
S31230,B-,session3439
S31230,B-,session3440
S31230,B,session3479
S31230,B,session3593
S31230,B,session3680
S31230,A-,session3687
S31233,A-,session1967
S31233,B+,session2223
S31233,B+,session2344
S31233,A-,session2374
S31233,B+,session2401
S31233,A,session2406
S31233,A-,session2678
S31233,A,session2966
S31233,A-,session3152
S31233,A-,session3231
S31233,C+,session3312
S31233,A,session3607
S31233,AU,session3787
S31236,B,session1880
S31236,B-,session1884
S31236,B,session1931
S31236,B,session2028
S31236,C-,session2119
S31236,NC,session2248
S31236,S,session2271
S31236,B,session2371
S31236,B+,session3251
S31236,A,session3299
S31236,D,session3395
S31236,A,session3659
S31239,B+,session2123
S31239,A-,session2129
S31239,B,session2230
S31239,B+,session2376
S31239,A-,session2389
S31239,B+,session2936
S31239,B,session3087
S31239,A-,session3100
S31239,A,session3170
S31239,B+,session3659
S31242,B-,session2206
S31242,B-,session2218
S31242,B,session2244
S31242,B,session2489
S31242,B-,session2862
S31242,B-,session2862
S31242,B,session2897
S31242,C+,session2933
S31242,C,session3175
S31242,B-,session3326
S31242,B-,session3412
S31242,B+,session3414
S31242,B+,session3414
S31245,A,session2084
S31245,A,session2160
S31245,A,session2220
S31245,A,session2326
S31245,A,session2385
S31245,A,session2496
S31245,S,session2686
S31245,A,session2687
S31245,A,session2862
S31245,S,session2916
S31245,A,session2942
S31245,A,session3488
S31245,A,session3539
S31245,A,session3710
S31248,A-,session1985
S31248,A,session1999
S31248,A-,session2603
S31248,B+,session2618
S31248,A,session2647
S31248,A,session3063
S31248,A,session3296
S31248,A,session3303
S31251,B-,session1980
S31251,B,session2005
S31251,B-,session2024
S31251,B+,session2083
S31251,C,session2240
S31251,B,session2382
S31251,C+,session2455
S31251,B,session2514
S31251,C+,session2767
S31251,C,session2968
S31251,B+,session3386
S31251,A-,session3643
S31251,A-,session3643
S31251,B,session3649
S31251,B,session3669
S31251,A,session3773
S31251,S,session3823
S31254,A,session2210
S31254,A,session2257
S31254,A,session2342
S31254,A,session2368
S31254,A,session2398
S31254,A,session2489
S31254,A,session2510
S31254,A,session2895
S31254,A,session2925
S31254,A,session3000
S31254,A,session3194
S31254,A,session3195
S31254,A,session3449
S31257,B,session1863
S31257,A-,session1892
S31257,S,session1921
S31257,A-,session1928
S31257,B+,session1946
S31257,A-,session2094
S31257,B+,session2200
S31257,A,session2357
S31257,A,session2730
S31257,B-,session2988
S31257,A,session3549
S31260,A,session1976
S31260,A,session2024
S31260,A,session2213
S31260,A,session2436
S31260,A-,session2462
S31260,A,session2480
S31260,A,session2655
S31260,A,session2699
S31260,A,session2725
S31260,A,session2861
S31260,B+,session3258
S31260,A,session3500
S31260,A,session3527
S31260,A,session3642
S31260,A,session3643
S31263,B-,session2001
S31263,A,session2077
S31263,A-,session2131
S31263,A,session2368
S31263,A,session2429
S31263,A-,session2586
S31263,B+,session2604
S31263,B+,session2842
S31263,B,session3093
S31263,A-,session3280
S31263,B+,session3342
S31263,B,session3665
S31266,B+,session2016
S31266,A,session2022
S31266,B+,session2160
S31266,B,session2320
S31266,A,session2379
S31266,A,session2391
S31266,C,session2532
S31266,S,session2558
S31266,A,session2689
S31266,S,session2785
S31266,B,session2883
S31266,A-,session3202
S31266,A,session3286
S31266,S,session3403
S31269,B+,session1852
S31269,B+,session1867
S31269,B+,session1876
S31269,A-,session1882
S31269,B,session1907
S31269,A,session1914
S31269,B+,session1987
S31269,A,session2109
S31269,B+,session2191
S31269,A,session2493
S31269,A,session3000
S31272,A-,session1954
S31272,A,session1971
S31272,A-,session1994
S31272,A,session2045
S31272,A,session2151
S31272,B+,session2348
S31272,A,session2380
S31272,A,session2996
S31272,A,session3008
S31272,A,session3417
S31272,A,session3547
S31272,S,session3609
S31272,A,session3808
S31275,A,session2084
S31275,A,session2182
S31275,A,session2251
S31275,A,session2279
S31275,A,session2550
S31275,A-,session2566
S31275,A,session2797
S31275,A,session2798
S31275,A-,session3144
S31275,A,session3290
S31275,A,session3776
S31278,C,session1966
S31278,B,session2120
S31278,B+,session2201
S31278,B+,session2210
S31278,B,session2311
S31278,B+,session2349
S31278,A-,session2362
S31278,B-,session2464
S31278,B,session2825
S31278,B+,session3082
S31278,A,session3239
S31278,B+,session3261
S31278,A-,session3518
S31278,A,session3687
S31278,A,session3690
S31278,A,session3829
S31281,A,session2046
S31281,A,session2114
S31281,A,session2123
S31281,S,session2262
S31281,A-,session2409
S31281,B,session2440
S31281,B+,session2502
S31281,A-,session2650
S31281,A-,session2713
S31281,B,session2985
S31281,S,session3224
S31281,B,session3314
S31281,B,session3416
S31284,D,session2002
S31284,C-,session2142
S31284,B,session2278
S31284,B,session2372
S31284,B+,session2396
S31284,B+,session2457
S31284,A-,session2777
S31284,A-,session3291
S31284,B-,session3605
S31284,A-,session3660
S31284,A-,session3783
S31284,C+,session3813
S31284,B-,session3821
S31287,A,session1964
S31287,A,session2003
S31287,B,session2151
S31287,A,session2215
S31287,A-,session2296
S31287,A-,session2373
S31287,A,session2442
S31287,B,session2479
S31287,B+,session2695
S31287,B-,session2971
S31287,C+,session3166
S31287,D-,session3384
S31287,B-,session3395
S31287,B-,session3639
S31287,B+,session3643
S31290,B-,session2125
S31290,A-,session2191
S31290,B-,session2338
S31290,A-,session2428
S31290,B,session2481
S31290,B-,session2532
S31290,A,session2693
S31290,A,session2745
S31290,B-,session3110
S31290,B-,session3111
S31290,A-,session3387
S31290,A-,session3387
S31290,C+,session3400
S31290,S,session3403
S31290,B+,session3454
S31290,S,session3615
S31290,S,session3709
S31293,B-,session1966
S31293,B+,session2072
S31293,A,session2154
S31293,A,session2449
S31293,B,session2510
S31293,B,session2920
S31293,A-,session2981
S31293,A-,session3150
S31293,B+,session3152
S31293,B+,session3446
S31293,B-,session3550
S31293,A,session3620
S31296,A,session1966
S31296,A-,session2088
S31296,A-,session2160
S31296,A,session2204
S31296,A,session2429
S31296,S,session2511
S31296,B+,session2658
S31296,A,session2836
S31296,A,session2897
S31296,A,session2897
S31296,A,session2933
S31296,A,session3123
S31296,A,session3387
S31296,A,session3480
S31296,A,session3674
S31299,B-,session1966
S31299,A,session2083
S31299,A-,session2315
S31299,C-,session2320
S31299,A,session2425
S31299,B+,session2604
S31299,B,session3094
S31299,A,session3096
S31299,A-,session3380
S31299,B+,session3381
S31299,A,session3472
S31299,A,session3656
S31299,A,session3816
S31302,B+,session2172
S31302,A,session2360
S31302,B,session2599
S31302,C,session2817
S31302,B+,session2999
S31302,B,session3089
S31302,A,session3538
S31302,A-,session3670
S31302,A-,session3711
S31302,A,session3792
S31302,A,session3796
S31305,B+,session1966
S31305,A-,session2149
S31305,B+,session2267
S31305,A-,session2294
S31305,C+,session2334
S31305,B+,session2355
S31305,A-,session2415
S31305,B+,session2509
S31305,B+,session2849
S31305,B,session2925
S31305,B,session2929
S31305,B+,session3510
S31308,C,session2003
S31308,C+,session2131
S31308,A-,session2255
S31308,B+,session2297
S31308,A-,session2305
S31308,B+,session2593
S31308,B,session2708
S31308,B-,session2925
S31308,B-,session2949
S31308,B+,session3013
S31308,A-,session3074
