GroupID,dry.mass,count,attachment,lipid,protein,carbo,ash,Kcal,ammonia,O2
1,0.5515,20,Rock,8.14,47.43,21.59,5.51,3.60844,0.0748937,0.82201075
2,0.4473,19,Rock,9.34,53.89,23.41,6.34,4.06164,0.06566364,0.69586461
3,0.3743,20,Rock,9.12,49.01,21.1,5.63,3.73861,0.07381196,0.62238604
4,0.6279,20,Rock,10.32,49.25,16.55,5.41,3.66318,0.10586394,0.89142963
5,0.5728,20,Rock,10.08,50.17,17.51,6.1,3.72194,0.10671264,1.09484992
6,0.5729,22,Rock,10.83,53.84,19.97,6.36,4.04361,0.11234569,1.00137191
7,0.5642,20,Rock,9.37,47.75,28.95,5.2,4.02728,0.11216296,0.92291836
8,0.5444,20,Rock,9.44,62.99,22.08,5.58,4.40681,0.10147616,0.9162252
9,0.5541,21,Rock,9.84,53.89,24.61,5.77,4.15284,0.10489113,0.93232866
10,0.5542,20,Rock,10.18,55.34,29.89,6.09,4.46023,0.10302578,0.92091414
11,0.4344,20,Rock,10.75,49.92,25.06,NA,4.07702,0.0844908,0.77340576
12,0.5105,19,Rock,9.98,54.16,20.52,5.55,4.00852,0.089848,0.8011787
13,0.3442,20,Rock,10.44,58.43,21.85,5.44,4.2853,0.06887442,0.57209482
14,0.3379,20,Rock,10.24,53.94,20.09,6.37,4.00327,0.07305398,0.61511316
15,0.3027,20,Rock,9,71.94,18.52,4.62,4.60874,0.05003631,0.37982796
16,0.826,34,Amblema,10.33,62.63,14.51,6.03,4.15572,0.2126124,1.9263146
17,0.4917,31,Amblema,7.91,59.62,17.4,5.42,3.9415,0.09376719,0.83618502
18,0.4579,72,Amblema,8.28,56.67,15.76,5.17,3.77849,0.17990891,1.04543149
19,0.4396,23,Amblema,6.82,53.2,9.97,5.39,3.26925,0.13513304,1.05380912
20,1.1573,27,Amblema,9.07,62.99,15.94,6.45,4.12399,0.34522259,2.39410651
21,0.4992,NA,Amblema,9.6,54.4,15.21,5.99,3.76921,NA,NA
22,1.1009,23,Amblema,6.5,59.36,22.95,6.57,4.03943,0.25419781,2.07200389
23,1.0745,42,Amblema,8.13,56.64,18.39,5.16,3.87243,0.4149719,2.7683418
24,0.3628,38,Amblema,8.27,43.49,21.1,4.91,3.42985,0.11312104,0.79137564
25,0.4741,38,Amblema,10.3,54.12,16.81,5.33,3.88157,0.13336433,0.97176277
26,NA,54,NA,NA,NA,NA,NA,NA,NA,NA
27,0.4281,26,Amblema,9.53,52.88,15.6,5.55,3.71396,0.12290751,1.24166124
28,0.889,28,Amblema,8.19,60.14,NA,5.53,NA,0.2484755,2.6799794
29,0.7017,31,Amblema,9.44,48.96,20.83,5.76,3.75227,0.25808526,2.26045638
30,0.681,64,Amblema,8.04,NA,17.89,NA,NA,0.2346726,2.0524659
