state,time,net,age,sex
VA,6060,5978,12,M
MD,4515,4457,13,M
VA,5026,4928,13,M
MD,4229,4229,14,M
MD,5293,5076,14,M
VA,6234,5968,14,M
VA,6286,5928,14,M
VA,6335,5939,14,M
VA,4098,4077,15,M
PA,4855,4634,15,M
MD,5351,5105,15,M
MD,5685,5382,15,M
MD,6506,6209,15,M
VA,6559,6214,15,M
MD,4608,4549,16,M
VA,6176,6027,16,M
IL,3474,3467,17,M
VA,4766,4747,17,M
VA,5291,5279,17,M
IL,5678,5424,17,M
VA,6178,5938,17,M
VA,6613,6494,17,M
NJ,4107,4058,18,M
NY,4165,3897,18,M
CT,4497,4425,18,M
ME,4809,4496,18,M
MD,4997,4887,18,M
NJ,5441,5289,18,M
VA,5765,5363,18,M
VA,6302,5974,18,M
MD,3403,3399,19,M
KS,3540,3533,19,M
NY,3917,3908,19,M
WI,3917,3875,19,M
DC,3970,3950,19,M
MD,4151,4115,19,M
DC,4249,4226,19,M
VA,4300,3971,19,M
VA,4726,4674,19,M
MD,5309,5096,19,M
Kenya,2825,2824,20,M
MD,3410,3404,20,M
MD,3413,3407,20,M
MD,3588,3588,20,M
MD,3647,3628,20,M
MD,3782,3782,20,M
MD,3980,3980,20,M
MD,4105,3815,20,M
MD,4223,4184,20,M
MD,4714,4272,20,M
MD,4758,4315,20,M
MD,4796,4354,20,M
VA,5221,4771,20,M
DC,5274,5274,20,M
DC,5508,5185,20,M
MD,5689,5599,20,M
MD,6189,5810,20,M
MD,6321,6246,20,M
PA,6337,5945,20,M
DC,6723,6577,20,M
DC,6724,6575,20,M
MD,3600,3600,21,M
MD,3876,3861,21,M
DC,4100,4100,21,M
MD,4306,4125,21,M
MD,4310,4230,21,M
NY,4405,4333,21,M
VA,4645,4620,21,M
IL,4684,4398,21,M
MD,4878,4678,21,M
MD,4893,4715,21,M
DC,4934,4755,21,M
MD,4970,4970,21,M
TX,5057,4995,21,M
MI,5614,5330,21,M
NC,5617,5118,21,M
MO,5727,5579,21,M
CT,5740,5376,21,M
MD,6115,5829,21,M
VA,7324,6894,21,M
DC,7604,7195,21,M
Kenya,2818,2817,22,M
MD,3247,3245,22,M
VA,3252,3251,22,M
CO,3339,3337,22,M
MD,3570,3565,22,M
VA,3614,3610,22,M
MD,3908,3886,22,M
MD,3923,3915,22,M
DC,4276,4234,22,M
DC,4295,4113,22,M
MD,4321,4299,22,M
DC,4442,4291,22,M
VA,4482,4401,22,M
WA,4525,4413,22,M
VA,4775,4712,22,M
DC,4819,4525,22,M
PA,4857,4857,22,M
MD,4879,4680,22,M
MA,4924,4858,22,M
DC,5083,5019,22,M
DC,5100,5033,22,M
MD,5231,5028,22,M
VA,5234,5129,22,M
VA,5334,5173,22,M
TX,5447,5439,22,M
VA,5463,5141,22,M
VA,5491,4996,22,M
DC,5626,5498,22,M
DC,5645,5182,22,M
DC,5914,5769,22,M
DC,6564,6083,22,M
DC,6836,6559,22,M
VA,7345,6867,22,M
Kenya,2852,2852,23,M
Ethiopia,2933,2933,23,M
Japan,3085,3085,23,M
VA,3371,3368,23,M
MA,3478,3477,23,M
MD,3568,3563,23,M
MD,3698,3693,23,M
VA,3825,3800,23,M
MD,4017,3984,23,M
MD,4072,4072,23,M
DC,4173,4153,23,M
PA,4290,4290,23,M
DC,4391,4154,23,M
VA,4463,4362,23,M
VA,4533,4464,23,M
VA,4631,4562,23,M
DC,4705,4684,23,M
VA,4757,4713,23,M
PA,4790,4657,23,M
DC,4799,4590,23,M
FL,4867,4694,23,M
DC,4892,4855,23,M
DC,4942,4731,23,M
DC,4953,4871,23,M
MD,5047,4842,23,M
DC,5098,5031,23,M
DC,5114,4794,23,M
MD,5168,5101,23,M
DC,5228,4928,23,M
DC,5250,4935,23,M
DC,5346,4910,23,M
DC,5387,5312,23,M
MD,5415,5220,23,M
DC,5501,5174,23,M
VA,5599,5227,23,M
DC,5634,5498,23,M
DC,5652,5190,23,M
DC,5696,5217,23,M
VA,5703,5325,23,M
VA,5810,5543,23,M
DC,5823,5500,23,M
DC,5960,5572,23,M
VA,5986,5722,23,M
MD,6059,5989,23,M
DC,6096,5722,23,M
VA,6096,5722,23,M
VA,6165,5676,23,M
MD,6179,5876,23,M
DC,6253,6016,23,M
MD,6314,6059,23,M
DC,6484,6484,23,M
DC,6531,6142,23,M
VA,6580,6467,23,M
DC,6588,6283,23,M
VA,6813,6326,23,M
VA,6832,6572,23,M
VA,6976,6699,23,M
DC,7587,7218,23,M
MD,7756,7294,23,M
VA,3307,3305,24,M
MA,3369,3369,24,M
VA,3505,3504,24,M
DC,3578,3574,24,M
VA,3687,3682,24,M
MD,3718,3718,24,M
DC,3784,3765,24,M
DC,3829,3811,24,M
VA,3880,3878,24,M
VA,3970,3954,24,M
VA,3982,3968,24,M
DC,4102,4075,24,M
VA,4141,3979,24,M
VA,4206,4171,24,M
MD,4368,4277,24,M
IA,4417,4390,24,M
VA,4461,4417,24,M
VA,4499,4431,24,M
DC,4524,4300,24,M
PA,4561,4544,24,M
DC,4585,4374,24,M
VA,4610,4397,24,M
DC,4613,4590,24,M
VA,4620,4620,24,M
VA,4673,4497,24,M
MD,4680,4538,24,M
VA,4686,4686,24,M
FL,4724,4644,24,M
DC,4746,4746,24,M
DC,4773,4704,24,M
VA,4834,4677,24,M
VA,4836,4556,24,M
VA,4885,4885,24,M
DC,4916,4807,24,M
DC,4981,4652,24,M
VA,4984,4879,24,M
DC,4993,4871,24,M
DC,4999,4999,24,M
MD,5038,5038,24,M
VA,5094,4772,24,M
VA,5108,4858,24,M
DC,5119,4816,24,M
DC,5123,4840,24,M
DC,5123,4881,24,M
