month,day,year,temp,kwh,ccf,thermsPerDay,dur,totalbill,gasbill,elecbill,notes
2,24,2005,29,557,166,6,28,213.71,166.63,47.08,
3,29,2005,31,772,179,5.5,33,239.85,117.05,62.8,
1,27,2005,15,891,224,7.5,30,294.96,223.92,71.04,
11,23,2004,43,860,82,2.8,29,160.26,88.51,71.75,
12,28,2004,23,1160,208,6,35,317.47,224.18,93.29,
9,26,2004,71,922,15,0.5,32,117.46,21.25,96.21,
8,25,2004,67,841,15,0.5,29,111.08,21.72,89.36,
7,27,2004,72,860,8,0.3,30,106.65,15.59,91.06,
1,28,2004,15,594,242,8.1,30,262.81,216.89,47.37,
6,27,2004,64,911,18,0.6,32,119.65,25.14,94.51,
5,26,2004,58,742,35,1.2,29,109.38,39.4,69.98,
4,27,2004,48,709,78,2.6,30,120.08,65.67,54.41,
3,28,2004,35,510,144,4.7,31,166.51,124.18,42.33,
2,26,2004,16,563,216,7.6,29,239.6,193.45,46.15,
12,29,2003,25,725,204,5.9,35,225.73,168.93,56.8,
11,24,2003,35,570,130,4.6,29,151.62,106.61,45.01
10,26,2003,53,927,48,1.5,31,127.37,45.28,82.09
9,25,2003,69,888,16,0.5,30,108.54,21.08,87.46
8,26,2003,75,869,14,0.5,29,108.04,19.56,89.12
7,28,2003,72,934,15,0.5,32,116.29,21.28,95.01
6,26,2003,67,722,18,0.6,29,99.52,24.46,75.06
4,28,2003,46,503,100,3.2,32,127.07,86.83,40.24
3,27,2003,29,648,153,5.3,29,226.92,176.02,50.9
12,29,2002,25,1032,190,5.5,35,217.42,140.49,76.93
11,24,2002,34,865,126,4.1,31,154.93,94.67,65.02
10,24,2002,47,790,69,2.4,29,122.51,55.74,66.77
9,25,2002,69,838,16,0.5,30,99.46,18.16,82.2
8,26,2002,72,812,15,0.5,29,101.39,17.56,83.83
7,28,2002,76,925,16,0.5,32,111.65,18.61,93.04
6,26,2002,69,496,23,0.8,29,76.43,23.42,53.01
5,28,2002,51,394,60,2,30,87.47,48.92,38.55
4,28,2002,45,449,106,3.3,32,106.04,70.34,35.7,
3,27,2002,21,471,190,6.6,29,152.32,113.63,38.69,
11,26,2001,48,1046,79,2.4,33,134.5,53.6,80.9,
1,28,2002,23,581,210,6.6,32,174.45,127.86,46.59,
2,26,2002,28,551,178,6.2,29,147.06,102.85,44.21,
6,26,2001,70,160,1,0.1,10,31.55,3.42,17.43,transfer back from England
10,24,2001,51,828,44,1.6,29,107.58,32.38,75.2,
9,25,2001,64,865,20,0.7,30,105.91,20.17,85.74,
7,26,2001,76,736,7,0.2,30,92.36,12.79,79.57,
10,24,2000,54,778,37,1.3,29,107.5,41.19,66.31,
11,26,2000,37,617,123,3.8,33,150.13,102.52,47.61,
12,27,2000,11,586,235,7.7,31,254.23,210.87,46.59,
8,26,2001,75,923,15,0.5,31,114.95,18.1,96.85,
2,26,2000,24,521,228,8,29,177.48,134.65,42.83,
9,25,2000,64,864,17,0.5,32,104.86,21.39,83.47,
12,29,1999,26,892,194,5.5,36,173.65,112.72,68.25,
1,28,2000,18,533,164,5.6,30,139.18,95.88,43.3,
8,24,2000,72,789,13,0.4,29,96.47,17.66,78.81,
7,26,2000,72,935,0,0,32,102.44,8.08,94.36,
4,28,2000,45,638,74,2.2,34,100.33,47.33,53,
6,24,2000,66,583,23,0.9,25,85.3,25.55,59.75,
5,30,2000,60,700,129,4.1,32,153.32,89.87,63.45,
3,25,2000,41,554,16,0.6,28,61.27,15.32,45.95,bad meter reading
2,26,2003,17,580,224,7.8,29,232.41,187.05,45.36,
5,28,2003,56,496,43,1.4,30,92.86,43.77,49.09,
4,28,2005,54,444,61,2,30,103.34,64.99,38.35,
5,26,2005,56,645,51,1.8,28,127.22,61.81,65.41,
8,25,2005,74,845,9,0.3,29,120.53,18.16,102.37,
9,26,2005,69,995,11,0.3,32,135.07,22.33,112.74,
7,27,2005,78,862,11,0.4,30,116.72,19.96,96.76,high efficiency gas furnace and gas water heater installed
6,27,2005,72,939,19,0.6,32,131.02,27.3,103.72,
10,25,2005,56,965,32,1.1,29,150.62,55.74,94.88,
12,28,2005,21,931,176,5.8,31,324.52,240.9,83.62,
11,27,2005,41,926,99,3.1,33,212.49,153.24,84.75,
1,29,2006,30,927,144,4.5,32,282.25,193.84,90.28,
2,27,2006,22,876,161,5.6,29,289.91,198.11,91.8,
3,28,2006,34,749,116,4,29,210.85,138.65,72.2,
4,26,2006,53,428,52,1.8,29,96.87,55,41.87,
5,25,2006,59,450,38,1.3,29,95.04,47.39,47.65,
6,26,2006,74,694,10,0.3,32,98.48,19.19,79.32,away for 10 days on vacation
7,26,2006,78,954,7,0.2,30,131.27,16.37,114.9,
8,24,2006,77,957,6,0.2,29,134.96,15.88,119.3,
9,25,2006,64,1027,15,0.5,32,156.51,25.74,130.77,
11,26,2006,41,663,101,3.1,33,168.24,106.54,62.72,
12,27,2006,30,720,140,4.5,31,229.4,159.08,70.32,
10,24,2006,50,893,47,1.6,29,144.16,46.12,98.04,
1,28,2007,24,897,168,5.3,32,267.72,178.16,89.97,
2,26,2007,13,808,191,6.7,29,298.5,207.53,90.97,
3,26,2007,38,724,101,3.6,29,192.67,118.78,73.89,
4,26,2007,46,707,77,2.6,30,159.01,82.76,76.25,
5,28,2007,65,442,18,0.6,32,86.54,32.98,53.56,
6,26,2007,74,305,7,0.2,29,67.19,21.41,45.78,
7,27,2007,76,839,9,0.3,30,135.73,22.87,112.99,
8,26,2007,75,809,6,0.2,31,123.07,19.17,103.9,
9,25,2007,68,812,13,0.4,30,117.82,24.54,98.9,"5.46 credit for ""cost of gas"""
10,24,2007,58,761,28,1,29,123.4,38.59,85.81,
11,26,2007,41,767,98,3,33,181.53,104.52,77.01,
12,27,2007,18,980,182,6,31,296.1,194.91,101.19,
3,27,2008,28,752,139,4.7,30,245.27,167.3,77.97,housesitters
2,26,2008,15,804,191,6.7,29,292.12,207.32,84.8,housesitters
4,27,2008,45,623,79,2.6,31,160.69,97.11,63.58,housesitters
